,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,HLA-DRB1,79.941696,2.9467676,0.0,0.0,0.8243334080215102,0.2403737487891508
4,HLA-DRB5,36.641098,2.6837487,6.342285728453785e-294,3.1711428642268926e-291,0.41071028456195385,0.09587907652567
1,HLA-DRA,48.078033,2.4369035,0.0,0.0,0.5621779072372843,0.18925573135292217
64,HLA-DQA1,11.722836,1.5480144,9.735792460778931e-32,4.295202556225999e-30,0.1696168496527,0.06484097513722958
231,MSC,3.7761164,1.34582,0.00015929253592932306,0.0019828946381243535,0.056688326237956534,0.02262269938650307
186,CHI3L2,4.8478417,1.3282022,1.2481183633787273e-06,1.920182097505734e-05,0.07775039211292853,0.03428721343235389
133,HLA-DQA2,6.7452083,1.3267376,1.5280750857905394e-11,3.29800378228174e-10,0.106430652027784,0.04599208911850178
45,HLA-DQB1,14.522928,1.2885706,8.672535700910307e-48,5.420334813068942e-46,0.23952498319516022,0.11111559573781078
10,HLA-DPA1,31.685305,1.2274619,2.4763905713085457e-220,6.190976428271365e-218,0.580103069684069,0.33243865030674846
73,HLA-DMA,10.220148,1.218154,1.6109504402849143e-24,6.276430286824341e-23,0.17140936589737846,0.08017839845011301
217,PDLIM1,4.063361,1.1890941,4.837114195771826e-05,0.0006392661932738097,0.06789155276719695,0.03136099451081692
227,HLA-DMB,3.832157,1.1864566,0.00012702464839993853,0.0016079069417713737,0.06273806856374636,0.028192605747497577
175,FABP5,5.3696623,1.1549591,7.88841413569033e-08,1.30028804434456e-06,0.09253865113152587,0.04437762350661931
79,CD160,9.862434,1.0985606,6.05630747833689e-23,2.189026799398876e-21,0.18328478601837328,0.09628269292864063
6,HLA-DPB1,32.755558,1.0927823,2.5304336475143585e-235,9.489126178178845e-233,0.6627828814698633,0.4302954472069745
7,GZMH,32.744335,1.0827776,3.6556241436383026e-235,1.2185413812127676e-232,0.7438942415415639,0.5269615757184372
3,CD74,37.3319,1.0742261,4.98591501478787e-305,2.9915490088727223e-302,0.8113376652475913,0.6243743945753956
54,FCGR3A,13.331719,1.0087357,1.5136772718482567e-40,7.829365199215121e-39,0.2708940174770334,0.15531159186309332
2,NKG7,42.15132,0.9831204,0.0,0.0,0.9816267084920457,0.9050694220213109
134,IFNG,6.6787076,0.9830065,2.4105838834741573e-11,5.165536893158909e-10,0.12838897602509522,0.06851388440426219
228,PTTG1,3.8232312,0.9623565,0.00013171414927136676,0.0016602623857735305,0.07416535962357158,0.03981675815305134
94,CEP78,8.68246,0.9248227,3.873015091659293e-18,1.1856168647936613e-16,0.17656285010082903,0.09906764610913787
201,KLRC2,4.432342,0.9186697,9.321492532550661e-06,0.00013253306918318476,0.09186645753977145,0.05220778172424927
27,GZMB,20.076534,0.8978443,1.1837073156862026e-89,1.2245248093305544e-87,0.4996639032041228,0.34440587665482725
163,LAIR2,5.802721,0.8893348,6.524733757081864e-09,1.1514236041909171e-07,0.11920233027111808,0.06712140781401356
221,CX3CR1,3.9117022,0.8857914,9.164786336972074e-05,0.0011902319918145551,0.07931884382702219,0.04409509202453988
126,TTC38,6.9014835,0.83709025,5.1462214579638375e-12,1.1695957859008723e-10,0.1492269773694824,0.08732240878269293
74,HN1,10.148236,0.82991165,3.374073759200414e-24,1.297720676615544e-22,0.2258570468294869,0.13587746206005813
102,TIGIT,8.157396,0.81169987,3.4232482927466905e-16,9.59789240957016e-15,0.18843827022182388,0.11624152405553762
160,PRSS23,6.014027,0.8071325,1.809699895068616e-09,3.250957895332843e-08,0.13690342818731796,0.08332660639328382
31,LGALS1,19.655142,0.8056779,5.2243370754603234e-86,4.749397341327567e-84,0.5581447456867578,0.42123425896028416
127,MIR4435-1HG,6.827142,0.7961268,8.662317887009504e-12,1.9539062903028955e-10,0.1563970423481963,0.09549564094284792
137,RGS1,6.652269,0.7933461,2.8860898962569812e-11,6.054734048091569e-10,0.159085816715214,0.10027849531804972
59,IDH2,12.19628,0.7893999,3.25351465494562e-34,1.5492926928312476e-32,0.2973336320860408,0.1931304488214401
11,GZMA,31.439337,0.78339654,5.871696999377562e-217,1.3550069998563606e-214,0.8617521846291732,0.7259444623829513
39,PRF1,17.39212,0.77423507,9.46653907757887e-68,6.926735910423563e-66,0.46784673986108,0.32856393283823054
67,FCRL6,11.338706,0.7675966,8.438307918738111e-30,3.5654822191851175e-28,0.2733587273134663,0.17341378753632547
161,AOAH,5.982373,0.7670723,2.1990985231843567e-09,3.926961648543494e-08,0.13623123459556352,0.08237810784630287
49,APOBEC3G,14.132766,0.7665922,2.3858541025239468e-45,1.3764542899176616e-43,0.36612144297557697,0.24891023571197934
244,CD244,3.4814882,0.7558112,0.0004986356942696431,0.005866302285525212,0.08088729554111584,0.04962463674523732
29,CCL4,19.83749,0.738235,1.413387025346441e-87,1.3677938954965557e-85,0.5839121667040108,0.4329189538262835
38,FGFBP2,17.50694,0.7348342,1.2682864440912362e-68,9.51214833068427e-67,0.5133318395697961,0.3749192767194059
249,SMC4,3.402648,0.72790164,0.0006673618678483572,0.007700329244404122,0.08200761819403989,0.051501453019050694
142,ABI3,6.511358,0.7211588,7.447444066344466e-11,1.499950773335117e-09,0.16020613936813802,0.10211494995156603
28,CMC1,19.92463,0.7130159,2.4888169957228985e-88,2.4888169957228986e-86,0.6298453954738965,0.489505973522764
117,CLIC3,7.4274554,0.7100457,1.1070650181513731e-13,2.7222910282410817e-12,0.19516020613936813,0.1303680981595092
20,CLIC1,23.094893,0.7037939,5.210925296361692e-118,7.105807222311398e-116,0.6748823661214429,0.5240757184371972
184,CCL3,4.961579,0.70327675,6.992255862821951e-07,1.0868791496614431e-05,0.13757562177907237,0.09408298353245076
152,GPR56,6.254286,0.6975786,3.9933905858846663e-10,7.534699218650313e-09,0.15796549406228994,0.10213513077171456
136,FGR,6.653639,0.69459563,2.8593371243489747e-11,6.04085307961051e-10,0.1678243334080215,0.10831046173716499
71,ZEB2,10.783391,0.6914603,4.1239772905560496e-27,1.6495909162224198e-25,0.28411382478153707,0.18974007103648693
218,MT1E,3.9575396,0.6898673,7.572572869937813e-05,0.0009963911670970806,0.10262155500784226,0.06730303519535034
35,CD8A,17.988625,0.68846154,2.392210004766467e-72,1.9396297335944327e-70,0.5341698409141833,0.3977034226670972
154,XCL2,6.1679215,0.6882642,6.919343498462015e-10,1.2893186643096922e-08,0.16043020389872284,0.10580804003874718
22,ITGB2,22.560556,0.6816684,1.057828206429972e-112,1.3222852580374649e-110,0.6874299798341923,0.5446197933484017
157,TMEM2,6.082555,0.6760637,1.18282576614352e-09,2.1637056697747313e-08,0.159085816715214,0.10500080723280594
200,ADA,4.5024366,0.6711625,6.717881573589183e-06,9.596973676555975e-05,0.11539323325117634,0.07501210849208911
14,CST7,27.919823,0.6706172,1.5332538623114053e-171,2.874850991833885e-169,0.8704907013219807,0.7368219244430093
98,PYCARD,8.437837,0.6569437,3.232654081836553e-17,9.415497325737533e-16,0.229218014788259,0.15474652889893445
46,FLNA,14.489387,0.6476374,1.4140039852579244e-47,8.65716725668117e-46,0.42482634998879676,0.30277284468840815
5,CCL5,35.908554,0.6474488,2.2464078203558896e-282,9.627462087239525e-280,0.9955187093883038,0.9678923151436875
32,C12orf75,18.95834,0.6450303,3.7685863910868925e-80,3.3252232862531403e-78,0.5749495854806184,0.43098159509202455
135,S1PR5,6.67409,0.64292043,2.487713529095792e-11,5.293007508714451e-10,0.17925162446784673,0.1196924443009364
89,TPST2,8.889809,0.6406323,6.121442011453142e-19,1.9746587133719813e-17,0.24378220927627156,0.16540200193735874
63,PLEK,11.834024,0.63995594,2.6035154649245254e-32,1.1657531932497876e-30,0.3376652475913063,0.23427914110429449
110,C1orf21,7.771281,0.6379621,7.76964100810504e-15,2.0268628716795759e-13,0.21151691687205915,0.1421536971262512
57,COTL1,12.288923,0.6254955,1.038803201133415e-34,5.1088682022954844e-33,0.4116065426842931,0.31802954472069744
66,CTSC,11.479649,0.6229485,1.6695736246119016e-30,7.155315534051007e-29,0.33968182836656957,0.24192767194058767
12,ACTB,30.112818,0.61053336,3.292599344443601e-199,7.055570023807715e-197,0.9950705803271342,0.9786486922828543
216,SLAMF7,4.091108,0.60887367,4.2931743696721915e-05,0.0005698904030538307,0.1115841362312346,0.07479011947045527
202,ASCL2,4.4248624,0.6031181,9.650384789392741e-06,0.00013656204890650104,0.12480394353573829,0.0851428802066516
65,LINC00152,11.565612,0.602185,6.155115760052762e-31,2.676137286979462e-29,0.35447008738516694,0.25623587342589604
9,PFN1,31.774942,0.60208255,1.4367533016599177e-221,3.9184180954361397e-219,0.9758010306968407,0.9455521472392638
26,SUB1,20.208452,0.59860754,8.249456306190376e-91,8.838703185203973e-89,0.6804839793860632,0.5573135292218275
68,DOK2,11.069148,0.59571487,1.7707622901592783e-28,7.378176208996993e-27,0.3369930539995519,0.2416855020988053
85,DYNLL1,9.062777,0.58829415,1.271710508436931e-19,4.286664635180666e-18,0.28590634102621554,0.20820552147239263
138,ANXA5,6.6169343,0.5837141,3.667245963113227e-11,7.64009575648589e-10,0.19986556128164912,0.14140700678075557
199,TPM4,4.5161505,0.58353066,6.2973878784691516e-06,9.039312744214093e-05,0.13287026663679138,0.09250887956086536
252,HIST1H1C,3.3363805,0.5809782,0.0008487694980067773,0.009681781346084911,0.10239749047725745,0.07285276073619631
51,CD63,13.635882,0.57788754,2.4501049929717594e-42,1.3611694405398664e-40,0.4488012547613713,0.3375645786244753
251,CD81,3.3480413,0.577825,0.0008138488369518901,0.009318879812426222,0.09657181268205244,0.0665563448498547
173,LYST,5.4589515,0.5664384,4.7895501484474454e-08,7.982583580745742e-07,0.16334304279632533,0.11470778172424928
30,ACTG1,19.743784,0.5649651,9.07223581122801e-87,8.50522107302626e-85,0.802375084024199,0.7190224410720052
119,CDK2AP2,7.3185573,0.5610329,2.5065094124217467e-13,6.064135675213903e-12,0.2285458211965046,0.1639489828866645
25,CTSW,20.802488,0.5607041,4.109263680782516e-96,4.5658485342027954e-94,0.7645081783553663,0.6604577010009687
16,MYL6,26.77329,0.5602563,6.614961969018521e-158,1.1024936615030867e-155,0.9153036074389425,0.8323579270261543
15,SH3BGRL3,27.905838,0.55719805,2.2665170483358643e-171,3.999735967651525e-169,0.9596683844947345,0.9007305456893768
92,CTSD,8.703822,0.5546336,3.2088933466125764e-18,1.0027791708164301e-16,0.28388976025095225,0.21016306102680013
176,PLA2G16,5.289345,0.5515095,1.227551935782102e-07,2.01238022259361e-06,0.1651355590410038,0.11832014853083629
21,GAPDH,23.042982,0.5485262,1.7296420740578584e-117,2.2560548792059024e-115,0.87138695944432,0.78832337746206
70,ANXA2,10.799547,0.54574597,3.459061805729974e-27,1.402322353674314e-25,0.3607438942415416,0.2704028091701647
69,SAMD3,10.859656,0.5423155,1.7942350865197692e-27,7.373568848711381e-26,0.3643289267308985,0.2720576364223442
188,TBX21,4.769594,0.5376614,1.8459757598025443e-06,2.8111305986840777e-05,0.1492269773694824,0.106675815305134
166,ATP1B3,5.7653317,0.53708386,8.149739723173251e-09,1.4132496629780205e-07,0.18462917320188213,0.13381901840490798
58,UCP2,12.212151,0.5366214,2.6771846391116627e-34,1.2954119221508044e-32,0.44723280304727764,0.3516306102680013
24,SRGN,20.957338,0.535975,1.6083583484859748e-97,1.855798094406894e-95,0.7732466950481739,0.6566637068130449
213,ZYX,4.130547,0.53352356,3.619007506789953e-05,0.00048686199642914167,0.13511091194263947,0.0986236680658702
120,VASP,7.2811737,0.53219295,3.3092849065534994e-13,7.942283775728398e-12,0.24602285458211964,0.18372618663222473
97,ISG15,8.449808,0.52896297,2.917819543407143e-17,8.581822186491597e-16,0.2870266636791396,0.2138157894736842
149,SPON2,6.378167,0.52476585,1.79219927525815e-10,3.468772790822226e-09,0.21151691687205915,0.15525104940264772
55,CALR,12.785771,0.52241236,1.968994339491165e-37,1.0011835624531348e-35,0.4707595787586825,0.3703584113658379
224,ATP6V0D1,3.8583102,0.52231306,0.00011417366464465257,0.0014637649313416995,0.1196504593322877,0.08494107200516629
139,SDF2L1,6.5936794,0.5173443,4.290574080827078e-11,8.877049822400851e-10,0.2204794980954515,0.16251614465611883
37,GZMM,17.630703,0.51510376,1.4317535903738328e-69,1.101348915672179e-67,0.6697288819179924,0.5574144333225702
47,CD8B,14.374931,0.512933,7.434362234908433e-47,4.46061734094506e-45,0.5500784225857047,0.43027526638682595
146,APOBEC3C,6.4342866,0.5104259,1.2405445159587537e-10,2.4484431236028035e-09,0.2231682724624692,0.16717791411042945
13,HLA-A,28.467686,0.50797284,2.9440461386166834e-178,5.8880922772333665e-176,0.9881245798790051,0.971867936712948
62,KLRD1,11.95896,0.50788444,5.828765512256667e-33,2.6494388692075763e-31,0.4391664799462245,0.341963997416855
88,EFHD2,8.897186,0.50617164,5.728044244648872e-19,1.867840514559415e-17,0.3264620210620659,0.25211898611559574
115,SH2D1A,7.491971,0.50485754,6.784699794312826e-14,1.6961749485782064e-12,0.26753304951826123,0.20322085889570551
61,LCP1,12.037107,0.50484586,2.267690072404137e-33,1.0466261872634479e-31,0.44924938382254087,0.3538505004843397
99,CARD16,8.274046,0.5021415,1.2948839891031328e-16,3.735242276259037e-15,0.29016356710732694,0.21811430416532127
230,PTMS,3.791599,0.5016061,0.00014968043055896575,0.0018710053819870718,0.1250280080663231,0.09111640297061672
50,MT2A,13.87434,0.5006985,9.062346227613103e-44,5.12962994015836e-42,0.5527671969527224,0.45110187278010977
84,APMAP,9.081381,0.49918008,1.0720586347560607e-19,3.654745345759298e-18,0.32332511763387856,0.2459436551501453
34,ARPC3,18.054598,0.49830234,7.258803431417491e-73,6.049002859514576e-71,0.7221599820748376,0.6129722311914756
109,CHST12,7.861373,0.49555275,3.799454330092968e-15,9.998564026560442e-14,0.2738068563746359,0.20517839845011301
77,TXN,10.056386,0.4924522,8.610106409796654e-24,3.1889282999246864e-22,0.3701546045261035,0.28729415563448496
42,ARPC1B,16.163147,0.49155337,9.175457924430618e-59,6.255994039384512e-57,0.6547165583688103,0.5551945431062318
140,SERPINB1,6.588995,0.48966122,4.428140188097109e-11,9.098918194720087e-10,0.22675330495182613,0.1682676783984501
87,HSPA5,8.923336,0.48919663,4.52448280989605e-19,1.4915877395261702e-17,0.3269101501232355,0.2512310300290604
240,ZBP1,3.6209323,0.4872341,0.0002935433738260077,0.0035084865397530802,0.12054671745462693,0.08810946076848564
111,AP2S1,7.6444683,0.48509988,2.0981024086108874e-14,5.42612691882126e-13,0.26999775935469417,0.20311995479496286
179,KLRF1,5.257109,0.48417005,1.463372769904819e-07,2.3602786611368052e-06,0.19269549630293525,0.1472594446238295
19,CYBA,23.8266,0.48057055,1.7707013287505483e-125,2.5295733267864975e-123,0.9175442527447905,0.8600460122699386
239,TGFBR3,3.6851237,0.4795217,0.00022859155644206093,0.002754115137856156,0.12547613712749273,0.09250887956086536
